PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=56 time=35.3 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=56 time=31.5 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=56 time=29.7 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=56 time=27.9 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=56 time=28.6 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=56 time=25.7 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=56 time=42.9 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=56 time=41.6 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=56 time=41.1 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=56 time=38.6 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=56 time=36.7 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=56 time=35.8 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=56 time=33.8 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=56 time=33.7 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=56 time=30.0 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=56 time=28.2 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=56 time=26.8 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=56 time=45.6 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=56 time=44.4 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=56 time=44.7 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=56 time=41.3 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=56 time=39.3 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=56 time=37.0 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=56 time=38.1 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=56 time=34.5 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=56 time=32.8 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=56 time=30.8 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=56 time=28.7 ms

--- 8.8.8.8 ping statistics ---
28 packets transmitted, 28 received, 0% packet loss, time 27044ms
rtt min/avg/max/mdev = 25.710/35.228/45.675/5.832 ms
